eu_id,date2,exp_year,dm_type,dm_gm2
32006,2018-11-15,y1_fall,radish,37.68
32006,2018-11-15,y1_fall,volunteer,210.34
32006,2019-11-13,y2_fall,grass_cl,NA
32006,2019-11-13,y2_fall,weeds,83.12
32006,2019-11-13,y2_fall,radish,62.36
32006,2019-11-13,y2_fall,volunteer,NA
32601,2018-11-15,y1_fall,grass_cl,NA
32601,2018-11-15,y1_fall,weeds,0
32601,2018-11-15,y1_fall,radish,358.85
32601,2018-11-15,y1_fall,volunteer,74.18
32601,2019-11-13,y2_fall,grass_cl,NA
32601,2019-11-13,y2_fall,weeds,37.19
32601,2019-11-13,y2_fall,radish,123.51
32601,2019-11-13,y2_fall,volunteer,NA
32602,2018-11-15,y1_fall,grass_cl,25.26
32602,2018-11-15,y1_fall,weeds,1.67
32602,2018-11-15,y1_fall,radish,NA
32602,2018-11-15,y1_fall,volunteer,302.03
32602,2019-11-13,y2_fall,grass_cl,85.3
32602,2019-11-13,y2_fall,weeds,40.37
32602,2019-11-13,y2_fall,radish,NA
32602,2019-11-13,y2_fall,volunteer,NA
32603,2018-11-15,y1_fall,grass_cl,NA
32603,2018-11-15,y1_fall,weeds,0
32603,2018-11-15,y1_fall,radish,NA
32603,2018-11-15,y1_fall,volunteer,275.13
32603,2019-11-13,y2_fall,grass_cl,NA
32603,2019-11-13,y2_fall,weeds,68.01
32603,2019-11-13,y2_fall,radish,NA
32603,2019-11-13,y2_fall,volunteer,NA
32605,2018-11-15,y1_fall,grass_cl,5.33
32605,2018-11-15,y1_fall,weeds,5.74
32605,2018-11-15,y1_fall,radish,NA
32605,2018-11-15,y1_fall,volunteer,258.48
32605,2019-11-13,y2_fall,grass_cl,6.79
32605,2019-11-13,y2_fall,weeds,80.16
32605,2019-11-13,y2_fall,radish,NA
32605,2019-11-13,y2_fall,volunteer,NA
32606,2018-11-15,y1_fall,grass_cl,NA
32606,2018-11-15,y1_fall,weeds,17.89
32606,2018-11-15,y1_fall,radish,54.67
32606,2018-11-15,y1_fall,volunteer,181.46
32606,2019-11-13,y2_fall,grass_cl,NA
32606,2019-11-13,y2_fall,weeds,115.44
32606,2019-11-13,y2_fall,radish,22.4
32606,2019-11-13,y2_fall,volunteer,NA
32701,2018-11-15,y1_fall,grass_cl,NA
32701,2018-11-15,y1_fall,weeds,0.81
32701,2018-11-15,y1_fall,radish,184.07
32701,2018-11-15,y1_fall,volunteer,98.39
32701,2019-11-13,y2_fall,grass_cl,NA
32701,2019-11-13,y2_fall,weeds,71.1
32701,2019-11-13,y2_fall,radish,84.75
32701,2019-11-13,y2_fall,volunteer,NA
32702,2018-11-15,y1_fall,grass_cl,9.03
32702,2018-11-15,y1_fall,weeds,1.7
32702,2018-11-15,y1_fall,radish,NA
32702,2018-11-15,y1_fall,volunteer,192.62
32702,2019-11-13,y2_fall,grass_cl,85.78
32702,2019-11-13,y2_fall,weeds,31.07
32702,2019-11-13,y2_fall,radish,NA
32702,2019-11-13,y2_fall,volunteer,NA
32703,2018-11-15,y1_fall,grass_cl,NA
32703,2018-11-15,y1_fall,weeds,3.64
32703,2018-11-15,y1_fall,radish,NA
32703,2018-11-15,y1_fall,volunteer,338.17
32703,2019-11-13,y2_fall,grass_cl,NA
32703,2019-11-13,y2_fall,weeds,69.89
32703,2019-11-13,y2_fall,radish,NA
